,quote_date,expiration_C,strike,option_type_C,bid_1545_C,ask_1545_C,expiration_P,option_type_P,bid_1545_P,ask_1545_P,date,rate,implied_S_x,moneyness,implied_S_y
96,2018-01-12,2018-02-09,7000.0,C,13.8,17.0,2018-02-09,P,251.0,261.0,2018-01-12,0.0131,6751.812068967147,-248.18793103285316,6751.2330665040345
97,2018-01-12,2018-02-09,7025.0,C,11.0,13.9,2018-02-09,P,273.0,282.8,2018-01-12,0.0131,6751.934969213458,-273.0650307865417,6751.2330665040345
98,2018-01-12,2018-02-09,7050.0,C,8.5,11.4,2018-02-09,P,295.0,307.9,2018-01-12,0.0131,6750.857869459769,-299.14213054023094,6751.2330665040345
99,2018-01-12,2018-02-09,7075.0,C,6.6,9.4,2018-02-09,P,317.8,330.0,2018-01-12,0.0131,6751.430769706081,-323.56923029391874,6751.2330665040345
100,2018-01-12,2018-02-09,7100.0,C,5.3,7.9,2018-02-09,P,340.8,353.0,2018-01-12,0.0131,6752.003669952393,-347.99633004760744,6751.2330665040345
101,2018-01-12,2018-02-09,7125.0,C,4.2,6.7,2018-02-09,P,364.6,377.2,2018-01-12,0.0131,6751.826570198703,-373.17342980129706,6751.2330665040345
102,2018-01-12,2018-02-09,7150.0,C,3.3,5.8,2018-02-09,P,388.0,402.0,2018-01-12,0.0131,6751.799470445015,-398.2005295549852,6751.2330665040345
103,2018-01-12,2018-02-09,7175.0,C,2.55,5.0,2018-02-09,P,412.2,426.3,2018-01-12,0.0131,6751.747370691325,-423.25262930867484,6751.2330665040345
104,2018-01-12,2018-02-09,7200.0,C,1.95,4.5,2018-02-09,P,436.6,450.7,2018-01-12,0.0131,6751.770270937637,-448.2297290623628,6751.2330665040345
105,2018-01-12,2018-02-09,7225.0,C,1.45,4.0,2018-02-09,P,457.7,479.0,2018-01-12,0.0131,6751.543171183948,-473.4568288160517,6751.2330665040345
106,2018-01-12,2018-02-09,7250.0,C,1.05,3.3,2018-02-09,P,482.5,503.0,2018-01-12,0.0131,6751.566071430259,-498.4339285697406,6751.2330665040345
107,2018-01-12,2018-02-09,7275.0,C,0.9,3.3,2018-02-09,P,507.2,528.0,2018-01-12,0.0131,6751.61397167657,-523.3860283234299,6751.2330665040345
108,2018-01-12,2018-02-09,7300.0,C,0.25,3.6,2018-02-09,P,531.9,553.0,2018-01-12,0.0131,6751.561871922882,-548.4381280771177,6751.2330665040345
109,2018-01-12,2018-02-09,7325.0,C,0.15,3.3,2018-02-09,P,556.4,577.0,2018-01-12,0.0131,6752.0847721691935,-572.9152278308065,6751.2330665040345
110,2018-01-12,2018-02-09,7350.0,C,0.05,3.0,2018-02-09,P,581.2,602.0,2018-01-12,0.0131,6751.957672415503,-598.0423275844969,6751.2330665040345
111,2018-01-12,2018-02-09,7400.0,C,0.05,2.6,2018-02-09,P,630.8,652.0,2018-01-12,0.0131,6751.903472908127,-648.0965270918732,6751.2330665040345
112,2018-01-12,2018-02-09,7500.0,C,0.05,2.05,2018-02-09,P,730.6,751.9,2018-01-12,0.0131,6751.670073893371,-748.3299261066286,6751.2330665040345
113,2018-01-12,2018-02-09,7600.0,C,0.0,1.7,2018-02-09,P,830.0,851.0,2018-01-12,0.0131,6752.111674878617,-847.8883251213829,6751.2330665040345
114,2018-01-12,2018-02-09,7700.0,C,0.0,1.45,2018-02-09,P,929.9,951.0,2018-01-12,0.0131,6751.928275863862,-948.0717241361381,6751.2330665040345
115,2018-01-12,2018-02-09,7800.0,C,0.0,1.25,2018-02-09,P,1029.6,1051.0,2018-01-12,0.0131,6751.869876849107,-1048.1301231508933,6751.2330665040345
116,2018-01-12,2018-02-09,7900.0,C,0.0,1.1,2018-02-09,P,1129.4,1150.8,2018-01-12,0.0131,6751.886477834352,-1148.1135221656477,6751.2330665040345
117,2018-01-12,2018-02-09,8000.0,C,0.0,1.0,2018-02-09,P,1229.0,1250.5,2018-01-12,0.0131,6752.078078819596,-1247.9219211804038,6751.2330665040345
118,2018-02-09,2018-03-09,4000.0,C,2393.1,2413.1,2018-03-09,P,0.0,5.0,2018-02-09,0.0131,6396.264039409798,2396.264039409798,6397.862463055677
119,2018-02-09,2018-03-09,4100.0,C,2293.7,2313.6,2018-03-09,P,0.1,5.1,2018-02-09,0.0131,6396.605640395042,2296.6056403950424,6397.862463055677
120,2018-02-09,2018-03-09,4200.0,C,2194.4,2214.2,2018-03-09,P,0.6,5.6,2018-02-09,0.0131,6396.647241380288,2196.6472413802876,6397.862463055677
121,2018-02-09,2018-03-09,4300.0,C,2095.1,2115.0,2018-03-09,P,1.2,6.2,2018-02-09,0.0131,6396.688842365534,2096.6888423655337,6397.862463055677
122,2018-02-09,2018-03-09,4400.0,C,1996.0,2015.6,2018-03-09,P,1.85,6.8,2018-02-09,0.0131,6396.705443350778,1996.7054433507783,6397.862463055677
123,2018-02-09,2018-03-09,4500.0,C,1897.1,1916.9,2018-03-09,P,2.7,7.7,2018-02-09,0.0131,6396.922044336023,1896.9220443360227,6397.862463055677
124,2018-02-09,2018-03-09,4600.0,C,1798.3,1818.2,2018-03-09,P,3.7,8.7,2018-02-09,0.0131,6397.063645321268,1797.0636453212683,6397.862463055677
125,2018-02-09,2018-03-09,4700.0,C,1699.7,1719.7,2018-03-09,P,4.8,9.8,2018-02-09,0.0131,6397.305246306512,1697.3052463065123,6397.862463055677
126,2018-02-09,2018-03-09,4800.0,C,1601.3,1621.3,2018-03-09,P,6.2,11.2,2018-02-09,0.0131,6397.396847291759,1597.3968472917586,6397.862463055677
127,2018-02-09,2018-03-09,4900.0,C,1503.2,1523.2,2018-03-09,P,7.9,12.9,2018-02-09,0.0131,6397.488448277003,1497.488448277003,6397.862463055677
128,2018-02-09,2018-03-09,5000.0,C,1405.4,1425.4,2018-03-09,P,9.9,14.9,2018-02-09,0.0131,6397.5800492622475,1397.5800492622475,6397.862463055677
129,2018-02-09,2018-03-09,5100.0,C,1308.2,1327.9,2018-03-09,P,12.3,17.3,2018-02-09,0.0131,6397.721650247493,1297.721650247493,6397.862463055677
130,2018-02-09,2018-03-09,5200.0,C,1211.2,1231.0,2018-03-09,P,15.1,20.1,2018-02-09,0.0131,6397.863251232737,1197.8632512327367,6397.862463055677
131,2018-02-09,2018-03-09,5300.0,C,1113.8,1134.6,2018-03-09,P,18.6,23.6,2018-02-09,0.0131,6397.354852217982,1097.3548522179817,6397.862463055677
132,2018-02-09,2018-03-09,5400.0,C,1018.5,1038.9,2018-03-09,P,22.3,28.3,2018-02-09,0.0131,6397.546453203227,997.5464532032274,6397.862463055677
133,2018-02-09,2018-03-09,5425.0,C,994.8,1015.2,2018-03-09,P,23.5,29.5,2018-02-09,0.0131,6397.619353449539,972.6193534495387,6397.862463055677
134,2018-02-09,2018-03-09,5450.0,C,971.2,991.4,2018-03-09,P,24.7,30.7,2018-02-09,0.0131,6397.69225369585,947.69225369585,6397.862463055677
135,2018-02-09,2018-03-09,5475.0,C,947.6,967.8,2018-03-09,P,26.0,32.0,2018-02-09,0.0131,6397.765153942161,922.7651539421613,6397.862463055677
136,2018-02-09,2018-03-09,5500.0,C,924.2,944.2,2018-03-09,P,27.4,33.4,2018-02-09,0.0131,6397.838054188473,897.8380541884726,6397.862463055677
137,2018-02-09,2018-03-09,5525.0,C,900.8,920.7,2018-03-09,P,28.8,34.8,2018-02-09,0.0131,6397.960954434783,872.9609544347832,6397.862463055677
138,2018-02-09,2018-03-09,5550.0,C,877.5,897.3,2018-03-09,P,30.3,36.3,2018-02-09,0.0131,6398.083854681095,848.0838546810946,6397.862463055677
139,2018-02-09,2018-03-09,5575.0,C,854.2,873.9,2018-03-09,P,31.9,37.9,2018-02-09,0.0131,6398.106754927407,823.1067549274067,6397.862463055677
140,2018-02-09,2018-03-09,5600.0,C,831.1,850.6,2018-03-09,P,33.6,39.6,2018-02-09,0.0131,6398.179655173717,798.179655173717,6397.862463055677
141,2018-02-09,2018-03-09,5625.0,C,808.1,827.5,2018-03-09,P,35.4,41.4,2018-02-09,0.0131,6398.302555420029,773.3025554200294,6397.862463055677
142,2018-02-09,2018-03-09,5650.0,C,785.1,804.4,2018-03-09,P,37.3,43.3,2018-02-09,0.0131,6398.32545566634,748.3254556663396,6397.862463055677
143,2018-02-09,2018-03-09,5675.0,C,762.3,781.4,2018-03-09,P,39.3,45.3,2018-02-09,0.0131,6398.398355912651,723.3983559126509,6397.862463055677
144,2018-02-09,2018-03-09,5700.0,C,739.5,758.6,2018-03-09,P,40.1,52.1,2018-02-09,0.0131,6396.771256158962,696.7712561589624,6397.862463055677
145,2018-02-09,2018-03-09,5725.0,C,716.9,735.8,2018-03-09,P,40.6,52.6,2018-02-09,0.0131,6398.544156405273,673.5441564052726,6397.862463055677
146,2018-02-09,2018-03-09,5750.0,C,694.4,713.2,2018-03-09,P,42.9,54.9,2018-02-09,0.0131,6398.667056651586,648.6670566515859,6397.862463055677
147,2018-02-09,2018-03-09,5775.0,C,672.0,690.7,2018-03-09,P,45.4,57.4,2018-02-09,0.0131,6398.689956897897,623.689956897897,6397.862463055677
148,2018-02-09,2018-03-09,5800.0,C,649.8,668.4,2018-03-09,P,48.0,60.0,2018-02-09,0.0131,6398.812857144207,598.8128571442066,6397.862463055677
149,2018-02-09,2018-03-09,5825.0,C,627.7,646.2,2018-03-09,P,50.8,62.8,2018-02-09,0.0131,6398.835757390519,573.8357573905187,6397.862463055677
150,2018-02-09,2018-03-09,5850.0,C,605.7,624.1,2018-03-09,P,53.7,65.7,2018-02-09,0.0131,6398.85865763683,548.8586576368298,6397.862463055677
151,2018-02-09,2018-03-09,5875.0,C,583.9,602.3,2018-03-09,P,56.8,68.8,2018-02-09,0.0131,6398.93155788314,523.9315578831402,6397.862463055677
152,2018-02-09,2018-03-09,5900.0,C,562.2,580.6,2018-03-09,P,60.0,72.0,2018-02-09,0.0131,6399.004458129453,499.00445812945327,6397.862463055677
153,2018-02-09,2018-03-09,5925.0,C,540.8,559.0,2018-03-09,P,63.5,75.5,2018-02-09,0.0131,6398.977358375763,473.9773583757633,6397.862463055677
154,2018-02-09,2018-03-09,5950.0,C,519.5,537.7,2018-03-09,P,67.1,79.1,2018-02-09,0.0131,6399.050258622075,449.0502586220746,6397.862463055677
155,2018-02-09,2018-03-09,5975.0,C,498.4,516.5,2018-03-09,P,70.9,82.9,2018-02-09,0.0131,6399.073158868387,424.0731588683866,6397.862463055677
156,2018-02-09,2018-03-09,6000.0,C,477.4,495.6,2018-03-09,P,74.9,86.9,2018-02-09,0.0131,6399.096059114698,399.0960591146977,6397.862463055677
157,2018-02-09,2018-03-09,6025.0,C,456.7,474.9,2018-03-09,P,79.1,91.1,2018-02-09,0.0131,6399.168959361008,374.1689593610081,6397.862463055677
158,2018-02-09,2018-03-09,6050.0,C,436.3,454.4,2018-03-09,P,83.3,98.6,2018-02-09,0.0131,6397.841859607321,347.84185960732066,6397.862463055677
